iter	Passed	Remaining
0	1643	1970279
1	3259	1952646
2	4876	1945596
3	6511	1947043
4	8168	1952161
5	9771	1944450
6	11389	1941083
7	12995	1936373
8	14584	1929998
9	16163	1923450
10	17723	1915719
11	19310	1911749
12	20909	1909163
13	22549	1910231
14	24149	1907815
15	25772	1907166
16	27417	1907915
17	29350	1927321
18	31212	1940080
19	33069	1951120
20	34905	1959668
21	36750	1967818
22	38584	1974509
23	40427	1980967
24	42268	1986620
25	44090	1990853
26	45910	1994543
27	47763	1999240
28	49655	2005035
29	51480	2007750
30	53329	2011035
31	55160	2013341
32	57001	2015766
33	58819	2017167
34	60631	2018155
35	62454	2019356
36	64290	2020804
37	66136	2022392
38	67989	2023981
39	69867	2026149
40	71731	2027730
41	73571	2028479
42	75393	2028619
43	77207	2028457
44	79018	2028136
45	80838	2027997
46	82659	2027803
47	84540	2028963
48	86394	2029393
49	88259	2029969
50	90104	2029994
51	91960	2030194
52	93807	2030145
53	95630	2029490
54	97465	2029062
55	99308	2028726
56	101134	2028018
57	102975	2027549
58	104829	2027292
59	106742	2028099
60	108581	2027450
61	110409	2026555
62	112270	2026211
63	114115	2025547
64	115940	2024504
65	117796	2023956
66	119663	2023556
67	121500	2022621
68	123368	2022163
69	125262	2022094
70	127118	2021367
71	128940	2020067
72	130776	2018968
73	132646	2018376
74	134492	2017392
75	136343	2016454
76	138167	2015086
77	140032	2014319
78	141855	2012912
79	143673	2011428
80	145474	2009707
81	147278	2008010
82	149141	2007114
83	151045	2006750
84	152911	2005843
85	154747	2004519
86	156558	2002871
87	158372	2001253
88	160197	1999765
89	162031	1998390
90	163875	1997115
91	165711	1995741
92	167537	1994235
93	169353	1992607
94	171195	1991274
95	173036	1989916
96	174838	1988115
97	176677	1986715
98	178507	1985219
99	180395	1984355
100	182276	1983389
101	184077	1981543
102	185775	1978594
103	187477	1975726
104	189246	1973571
105	190968	1970936
106	192680	1968217
107	194298	1964571
108	196003	1961835
109	197621	1958248
110	199586	1958102
111	201520	1957622
112	203263	1955290
113	204895	1951903
114	206459	1947902
115	208262	1946176
116	209907	1942993
117	211493	1939288
118	213129	1936071
119	214747	1932726
120	216397	1929694
121	217994	1926214
122	219566	1922545
123	221112	1918684
124	222637	1914681
125	224150	1910613
126	225671	1906661
127	227168	1902539
128	228671	1898503
129	230165	1894441
130	231695	1890706
131	233209	1886874
132	234737	1883191
133	236244	1879379
134	237769	1875737
135	239260	1871860
136	240792	1868338
137	242286	1864549
138	243814	1861055
139	245318	1857408
140	246828	1853837
141	248324	1850195
142	249835	1846683
143	251372	1843400
144	252887	1839973
145	254397	1836543
146	255902	1833099
147	257424	1829802
148	258908	1826257
149	260396	1822772
150	261914	1819524
151	263444	1816382
152	264998	1813422
153	266513	1810212
154	268016	1806949
155	269528	1803766
156	270944	1799968
157	272467	1796903
158	273992	1793877
159	275505	1790784
160	277046	1787897
161	278545	1784756
162	280059	1781729
163	281580	1778765
164	283072	1775636
165	284586	1772664
166	286100	1769713
167	287634	1766899
168	289170	1764110
169	290608	1760743
170	292120	1757846
171	293652	1755086
172	295167	1752237
173	296689	1749443
174	298210	1746661
175	299750	1744001
176	301282	1741313
177	302813	1738626
178	304355	1736015
179	305441	1730837
180	306881	1727691
181	308401	1725014
182	309828	1721834
183	311399	1719467
184	312961	1717058
185	314548	1714797
186	316089	1712292
187	317337	1708219
188	318817	1705418
189	320046	1701302
190	321609	1698975
191	323178	1696689
192	324736	1694348
193	326321	1692162
194	327975	1690332
195	329550	1688105
196	331122	1685868
197	332713	1683733
198	334241	1681287
199	335262	1676314
200	336828	1674090
201	338377	1671786
202	339953	1669625
203	341503	1667341
204	343088	1665233
205	344646	1663004
206	346203	1660774
207	347310	1656405
208	348829	1654021
209	350401	1651891
210	351846	1649175
211	353270	1646374
212	354612	1643205
213	356184	1641110
214	357647	1638525
215	359110	1635949
216	360680	1633867
217	362133	1631264
218	363576	1628622
219	365139	1626530
220	366588	1623938
221	368135	1621787
222	369599	1619277
223	371041	1616681
224	372503	1614181
225	373856	1611224
226	375453	1609323
227	377044	1607399
228	378537	1605063
229	379980	1602527
230	381545	1600508
231	382982	1597963
232	384444	1595527
233	385874	1592970
234	387301	1590407
235	388691	1587705
236	390120	1585174
237	391673	1583150
238	393071	1580509
239	394439	1577759
240	395827	1575098
241	396989	1571553
242	398282	1568546
243	399717	1566108
244	401266	1564120
245	402531	1561036
246	403912	1558413
247	405284	1555771
248	406571	1552809
249	407967	1550276
250	409364	1547756
251	410772	1545288
252	412170	1542787
253	413553	1540242
254	414934	1537699
255	416350	1535292
